IDs         length   Exptl.  resolution  R-factor FreeRvalue
1ID0A       152      XRAY        1.600    0.20    0.23
3L8WA       296      XRAY        1.000    0.14    0.14
3ISXA       343      XRAY        1.400    0.15    0.18
1SVFA        64      XRAY        1.400    0.18    0.20
3DKRA       251      XRAY        1.600    0.17    0.18
3ZSUA       130      XRAY        1.600    0.16    0.19
2R5OA       188      XRAY        1.300    0.17    0.18
3M66A       270      XRAY        1.600    0.17    0.20
4P7XA       292      XRAY        1.300    0.14    0.16
4WKAA       377      XRAY        0.950    0.11    0.12
1ZZKA        82      XRAY        0.950    0.12    0.13
2FHPA       187      XRAY        1.600    0.18    0.21
4TSDA       195      XRAY        1.530    0.16    0.18
3NOHA       139      XRAY        1.600    0.16    0.20
4WPYA        94      XRAY        1.500    0.23    0.25
5U69A       369      XRAY        1.280    0.13    0.15
3LK7A       451      XRAY        1.500    0.19    0.21
4KQPA       232      XRAY        0.950    0.12    0.12
2FSRA       195      XRAY        1.520    0.18    0.20
3OCJA       305      XRAY        1.390    0.19    0.21
2PC1A       201      XRAY        1.280    0.17    0.18
5DTYA       248      XRAY        1.500    0.18    0.22
4I3GA       829      XRAY        1.400    0.17    0.20
1P3HA        99      XRAY        0.000    0.26    0.28
1G6UA        48      XRAY        1.480    0.20    0.24
4R75A       321      XRAY        1.280    0.17    0.19
5T3BA       481      XRAY        1.400    0.11    0.14
5UBAA       295      XRAY        1.540    0.20    0.21
3B5MA       205      XRAY        1.210    0.18    0.20
4QBOA        92      XRAY        1.300    0.17    0.18
2YIMA       360      XRAY        1.410    0.19    0.20
3PB6X       330      XRAY        1.050    0.14    0.16
2BU3A       254      XRAY        1.400    0.17    0.19
4MYDA       252      XRAY        1.370    0.13    0.17
2CG7A        90      XRAY        1.200    0.19    0.22
5BMNA       468      XRAY        1.270    0.17    0.19
3ZXCA        77      XRAY        1.400    0.16    0.19
3O12A       221      XRAY        1.500    0.17    0.18
1LS1A       295      XRAY        1.100    0.14    0.17
4N1IA       334      XRAY        1.000    0.12    0.14
3RQTA       486      XRAY        1.500    0.14    0.17
4I66A       209      XRAY        1.300    0.16    0.20
5HDKA       112      XRAY        1.320    0.15    0.17
4KQDA       121      XRAY        1.550    0.16    0.18
5B08A       104      XRAY        1.320    0.20    0.21
3X2MA       180      XRAY        0.640    0.12    0.13
3A02A        60      XRAY        1.000    0.17    0.18
2RKQA       169      XRAY        1.500    0.16    0.17
4INWA       140      XRAY        1.140    0.16    0.18
4Z7EA       293      XRAY        1.500    0.15    0.20
5G3YA       226      XRAY        1.180    0.13    0.15
2FWHA       134      XRAY        0.990    0.11    0.15
3BF7A       255      XRAY        1.100    0.20    0.21
1USEA        45      XRAY        1.300    0.17    0.20
3CA7A        52      XRAY        1.500    0.20    0.24
3BUXB       329      XRAY        1.350    0.23    0.24
3RWNA       161      XRAY        1.000    0.13    0.14
5SV2A       146      XRAY        1.310    0.14    0.16
5J3TA       130      XRAY        1.600    0.19    0.22
5K4XA       389      XRAY        1.370    0.20    0.21
4MTMA       164      XRAY        1.370    0.10    0.13
5DU9A       450      XRAY        1.600    0.17    0.19
2XIOA       301      XRAY        1.190    0.17    0.19
5M72A       160      XRAY        1.600    0.14    0.18
3UIDA       168      XRAY        1.570    0.19    0.21
2HUHA       147      XRAY        1.540    0.17    0.19
2IAYA       114      XRAY        1.200    0.12    0.15
2FVYA       309      XRAY        0.920    0.11    0.13
5JGKA       289      XRAY        1.330    0.14    0.17
2VPTA       215      XRAY        1.400    0.15    0.18
3CBZA       108      XRAY        1.380    0.14    0.17
3SUUA       525      XRAY        1.600    0.14    0.17
4QI8A       214      XRAY        1.100    0.13    0.15
1U7IA       136      XRAY        1.400    0.15    0.18
1Z70X       311      XRAY        1.150    0.14    0.17
3DQYA       106      XRAY        1.200    0.18    0.20
4HGUA        40      XRAY        0.980    0.11    0.12
5EWYA       200      XRAY        1.400    0.15    0.17
4DM5A       103      XRAY        1.500    0.18    0.21
1YQSA       349      XRAY        1.050    0.11    0.14
2FCTA       313      XRAY        1.600    0.18    0.20
2OIZA       361      XRAY        1.050    0.12    0.14
2AKZA       439      XRAY        1.360    0.12    0.14
1US0A       316      XRAY        0.660    0.09    0.10
4CGOA       411      XRAY        1.300    0.16    0.20
5PG1A       138      XRAY        1.490    0.21    0.25
3A2ZA       197      XRAY        1.500    0.18    0.20
2CYJA       118      XRAY        1.500    0.18    0.20
1T8KA        77      XRAY        1.100    0.13    0.15
4DZIA       423      XRAY        1.600    0.17    0.20
1ODMA       331      XRAY        1.150    0.14    0.15
3HM4A       156      XRAY        1.300    0.14    0.17
5G4IA       446      XRAY        1.500    0.15    0.17
4HL2A       243      XRAY        1.050    0.13    0.16
2IMFA       203      XRAY        1.300    0.18    0.21
4H7WA       193      XRAY        1.100    0.13    0.15
4X2RA       250      XRAY        1.050    0.12    0.14
3E8TA       220      XRAY        1.300    0.14    0.18
3CJSB        72      XRAY        1.370    0.18    0.21
4GY7A       840      XRAY        1.490    0.15    0.17
2QSWA       100      XRAY        1.500    0.15    0.18
2UZCA        88      XRAY        1.500    0.17    0.21
1MKKA        96      XRAY        1.320    0.17    0.20
3VGIA       319      XRAY        1.070    0.13    0.16
5ECKA       575      XRAY        1.540    0.16    0.17
2OYOA       196      XRAY        1.510    0.18    0.21
2EW0A       192      XRAY        1.400    0.20    0.22
3VWNX       392      XRAY        1.200    0.13    0.15
1Z21A       112      XRAY        1.500    0.27    0.24
3HP7A       291      XRAY        1.530    0.15    0.18
5J0KA        80      XRAY        1.540    0.20    0.22
2OKTA       342      XRAY        1.300    0.14    0.18
4IAUA       163      XRAY        0.990    0.11    0.13
1ZI8A       236      XRAY        1.400    0.17    0.19
4QBBA       167      XRAY        1.600    0.17    0.20
4UA6A       263      XRAY        0.790    0.11    0.12
4B6GA       283      XRAY        1.400    0.14    0.15
3B49A       211      XRAY        1.600    0.17    0.20
3SC7X       516      XRAY        1.500    0.19    0.21
1C5EA        95      XRAY        1.100    0.10    0.13
4Z9HA       196      XRAY        1.450    0.17    0.20
3L81A       301      XRAY        1.600    0.21    0.25
4UDXX       636      XRAY        1.030    0.13    0.16
3LT7A        64      XRAY        1.500    0.23    0.27
1HQ1A       105      XRAY        1.520    0.16    0.20
3D06A       200      XRAY        1.200    0.18    0.20
2C2UA       207      XRAY        1.100    0.13    0.15
3IX3A       173      XRAY        1.400    0.17    0.21
4RVQA       139      XRAY        1.140    0.12    0.15
4QKDA       200      XRAY        1.350    0.15    0.16
3WQCA       390      XRAY        1.500    0.12    0.15
1YFQA       342      XRAY        1.100    0.15    0.19
5A62A       277      XRAY        1.500    0.14    0.16
1VR7A       142      XRAY        1.200    0.12    0.15
3V0DA       339      XRAY        1.100    0.14    0.16
1OF8A       370      XRAY        1.500    0.13    0.17
4X84A       231      XRAY        1.250    0.14    0.16
3WQBB       148      XRAY        1.410    0.19    0.21
3TM8A       328      XRAY        1.280    0.17    0.20
4BVXB       171      XRAY        1.600    0.22    0.25
4RRIA       136      XRAY        1.500    0.20    0.26
2WNKA       238      XRAY        1.550    0.20    0.25
4CC2A        67      XRAY        1.550    0.17    0.22
4JHTA       206      XRAY        1.180    0.16    0.17
4WY9A       297      XRAY        1.400    0.12    0.15
3S8MA       422      XRAY        1.600    0.19    0.20
4PNEA       302      XRAY        1.500    0.20    0.22
4WIQA       264      XRAY        1.590    0.15    0.16
4CGSA       173      XRAY        1.300    0.17    0.22
4PH8A       156      XRAY        1.550    0.16    0.23
3R8JA       212      XRAY        1.600    0.18    0.20
5FQEA       610      XRAY        1.530    0.16    0.18
1N62A       166      XRAY        1.090    0.14    0.17
1KYFA       247      XRAY        1.220    0.15    0.21
4ZBOA       265      XRAY        1.400    0.15    0.17
1E6UA       321      XRAY        1.450    0.14    0.17
2GS5A       198      XRAY        1.500    0.18    0.21
3NJNA       119      XRAY        1.250    0.14    0.16
3FG9A       156      XRAY        1.470    0.18    0.21
3ONHA       127      XRAY        1.600    0.16    0.18
4CO8A       135      XRAY        1.050    0.12    0.13
5K2XA       420      XRAY        1.500    0.16    0.19
5DVIA       419      XRAY        1.250    0.12    0.15
1HFES       123      XRAY        1.600    0.16    0.18
1SH8A       154      XRAY        1.500    0.20    0.22
1X6IA        91      XRAY        1.200    0.17    0.21
2YC3A       228      XRAY        1.400    0.17    0.20
3PLNA       424      XRAY        1.500    0.17    0.19
3WWCA       364      XRAY        1.490    0.15    0.17
5CTDC        72      XRAY        1.600    0.18    0.20
5J1SB       239      XRAY        1.400    0.14    0.19
2R31A       239      XRAY        1.000    0.12    0.14
2X9GA       288      XRAY        1.100    0.12    0.15
3N01A        89      XRAY        1.300    0.17    0.21
4XEZA       200      XRAY        1.250    0.12    0.16
4E2XA       416      XRAY        1.400    0.21    0.24
3LSNA       304      XRAY        1.350    0.18    0.20
4X9RA       237      XRAY        1.400    0.15    0.18
4CBUG       127      XRAY        1.300    0.12    0.15
4RP3A        98      XRAY        1.360    0.15    0.21
1SAUA       115      XRAY        1.120    0.11    0.14
5G51A       157      XRAY        1.450    0.19    0.21
4J8CA        46      XRAY        1.100    0.14    0.16
2YLNA       283      XRAY        1.120    0.11    0.14
2HX5A       152      XRAY        1.500    0.16    0.18
1LNIA        96      XRAY        1.000    0.12    1.00
3BEDA       142      XRAY        1.450    0.16    0.20
2WCWA       139      XRAY        1.580    0.16    0.19
3VORA       182      XRAY        0.900    0.12    0.13
4M5EA       410      XRAY        1.490    0.18    0.20
5I90A       427      XRAY        1.220    0.14    0.16
5IHWA       314      XRAY        1.250    0.14    0.18
3LLUA       196      XRAY        1.400    0.15    0.18
3H79A       127      XRAY        1.500    0.18    0.22
3U7QA       492      XRAY        1.000    0.13    0.15
3OG2A      1003      XRAY        1.200    0.14    0.17
2QCPX        80      XRAY        1.000    0.16    0.19
4JGLA       169      XRAY        1.250    0.14    0.15
4ESWA       342      XRAY        1.600    0.16    0.19
3OV5A        85      XRAY        1.040    0.13    0.15
2ZCWA       202      XRAY        1.500    0.22    0.23
4X1ZA       332      XRAY        1.360    0.11    0.13
5J4LA       231      XRAY        1.130    0.12    0.14
3HZPA       131      XRAY        1.400    0.17    0.18
4BEUA       392      XRAY        1.150    0.16    0.17
2NW8A       306      XRAY        1.600    0.17    0.19
1JETA       517      XRAY        1.200    0.23    0.26
5D5YA        50      XRAY        1.030    0.17    0.20
4AZ6A       435      XRAY        1.360    0.12    0.14
5EQ0A        55      XRAY        1.180    0.16    0.19
3WARA       340      XRAY        1.040    0.14    0.17
3M8JA       111      XRAY        1.400    0.20    0.22
1MUNA       225      XRAY        1.200    0.12    0.17
4BPFA        86      XRAY        1.010    0.13    0.16
3G91A       265      XRAY        1.230    0.12    0.17
4HVKA       382      XRAY        1.430    0.11    0.15
5A8CA       326      XRAY        0.970    0.10    0.12
4Z67A       309      XRAY        1.500    0.14    0.17
2O8QA       134      XRAY        1.550    0.17    0.19
1VMGA        95      XRAY        1.460    0.14    0.15
4UFQA       217      XRAY        1.450    0.15    0.17
5B1RA       127      XRAY        1.200    0.13    0.15
4R1JA       197      XRAY        1.400    0.18    0.20
2W15A       202      XRAY        1.050    0.12    0.14
4PUXA       160      XRAY        1.430    0.12    0.15
2R6UA       148      XRAY        1.500    0.18    0.21
1FSGA       233      XRAY        1.050    0.12    0.15
2FKKA       206      XRAY        1.200    0.12    0.14
1MN8A       100      XRAY        1.000    0.13    0.17
3WDNA       125      XRAY        0.860    0.11    0.14
3F2ZA       159      XRAY        1.300    0.16    0.17
2OHWA       133      XRAY        1.400    0.20    0.23
3SCYA       361      XRAY        1.500    0.17    0.18
2J73A       103      XRAY        1.400    0.15    0.21
3LTIA       296      XRAY        1.600    0.21    0.23
1UCRA        78      XRAY        1.200    0.14    0.18
4DQ6A       391      XRAY        1.500    0.15    0.19
2RHFA        77      XRAY        1.100    0.18    0.19
4RAXA       252      XRAY        1.450    0.15    0.18
5DBLA       132      XRAY        1.600    0.18    0.21
3LHIA       232      XRAY        1.330    0.13    0.16
5M33A       101      XRAY        1.280    0.14    0.17
3BA3A       145      XRAY        1.550    0.17    0.20
5TOQA       414      XRAY        1.200    0.16    0.17
5B1NA        69      XRAY        1.330    0.18    0.21
5A7VA       388      XRAY        1.350    0.13    0.15
5JEEA       231      XRAY        1.490    0.20    0.22
3PJPA       199      XRAY        1.600    0.20    0.24
4H1BA       380      XRAY        1.050    0.16    0.18
2W8TA       427      XRAY        1.250    0.15    0.17
4W7LA       449      XRAY        1.050    0.13    0.15
2QJWA       176      XRAY        1.350    0.18    0.22
4GUCA       120      XRAY        1.400    0.15    0.19
1WS8A       109      XRAY        1.600    0.19    0.21
4QA8A       229      XRAY        1.100    0.17    0.19
3GXHA       157      XRAY        1.400    0.16    0.18
5LI7A       414      XRAY        1.580    0.17    0.20
2G8SA       353      XRAY        1.500    0.15    0.18
2C61A       469      XRAY        1.500    0.19    0.21
3P3CA       274      XRAY        1.250    0.15    0.16
4TVVA       314      XRAY        1.400    0.14    0.17
2P14A       192      XRAY        1.500    0.18    0.21
3H7HB       106      XRAY        1.550    0.19    0.22
1OW4A       129      XRAY        1.600    0.18    0.21
